ANÁLISIS LÉXICO - algoritmos/algoritmo_Nehemias.php
Contribución de: NLindao2004
Fecha: 14/06/2025 16:08:31
==================================================

TOKENS RECONOCIDOS:
Token: MENOR, Valor: '<', Línea: 100
Token: NUMERO, Valor: '17', Línea: 107
Token: CORCHETE_DER, Valor: ']', Línea: 107
Token: COMA, Valor: ',', Línea: 107
Token: CORCHETE_IZQ, Valor: '[', Línea: 108
Token: CADENA, Valor: '"nombre"', Línea: 108
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 108
Token: CADENA, Valor: '"Pedro"', Línea: 108
Token: COMA, Valor: ',', Línea: 108
Token: CADENA, Valor: '"edad"', Línea: 108
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 108
Token: NUMERO, Valor: '25', Línea: 108
Token: CORCHETE_DER, Valor: ']', Línea: 108
Token: COMA, Valor: ',', Línea: 108
Token: CORCHETE_IZQ, Valor: '[', Línea: 109
Token: CADENA, Valor: '"nombre"', Línea: 109
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 109
Token: CADENA, Valor: '"Laura"', Línea: 109
Token: COMA, Valor: ',', Línea: 109
Token: CADENA, Valor: '"edad"', Línea: 109
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 109
Token: NUMERO, Valor: '40', Línea: 109
Token: CORCHETE_DER, Valor: ']', Línea: 109
Token: COMA, Valor: ',', Línea: 109
Token: CORCHETE_DER, Valor: ']', Línea: 110
Token: PUNTO_COMA, Valor: ';', Línea: 110
Token: VARIABLE, Valor: '$edades', Línea: 112
Token: ASIGNAR, Valor: '=', Línea: 112
Token: CORCHETE_IZQ, Valor: '[', Línea: 112
Token: CORCHETE_DER, Valor: ']', Línea: 112
Token: PUNTO_COMA, Valor: ';', Línea: 112
Token: VARIABLE, Valor: '$adultos', Línea: 113
Token: ASIGNAR, Valor: '=', Línea: 113
Token: NUMERO, Valor: '0', Línea: 113
Token: PUNTO_COMA, Valor: ';', Línea: 113
Token: VARIABLE, Valor: '$totalEdades', Línea: 114
Token: ASIGNAR, Valor: '=', Línea: 114
Token: NUMERO, Valor: '0', Línea: 114
Token: PUNTO_COMA, Valor: ';', Línea: 114
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 115
Token: ASIGNAR, Valor: '=', Línea: 115
Token: COUNT, Valor: 'count', Línea: 115
Token: PAREN_IZQ, Valor: '(', Línea: 115
Token: VARIABLE, Valor: '$personas', Línea: 115
Token: PAREN_DER, Valor: ')', Línea: 115
Token: PUNTO_COMA, Valor: ';', Línea: 115
Token: FOREACH, Valor: 'foreach', Línea: 118
Token: PAREN_IZQ, Valor: '(', Línea: 118
Token: VARIABLE, Valor: '$personas', Línea: 118
Token: AS, Valor: 'as', Línea: 118
Token: VARIABLE, Valor: '$persona', Línea: 118
Token: PAREN_DER, Valor: ')', Línea: 118
Token: LLAVE_IZQ, Valor: '{', Línea: 118
Token: VARIABLE, Valor: '$edades', Línea: 120
Token: CORCHETE_IZQ, Valor: '[', Línea: 120
Token: CORCHETE_DER, Valor: ']', Línea: 120
Token: ASIGNAR, Valor: '=', Línea: 120
Token: VARIABLE, Valor: '$persona', Línea: 120
Token: CORCHETE_IZQ, Valor: '[', Línea: 120
Token: CADENA, Valor: '"edad"', Línea: 120
Token: CORCHETE_DER, Valor: ']', Línea: 120
Token: PUNTO_COMA, Valor: ';', Línea: 120
Token: VARIABLE, Valor: '$totalEdades', Línea: 122
Token: MAS, Valor: '+', Línea: 122
Token: ASIGNAR, Valor: '=', Línea: 122
Token: VARIABLE, Valor: '$persona', Línea: 122
Token: CORCHETE_IZQ, Valor: '[', Línea: 122
Token: CADENA, Valor: '"edad"', Línea: 122
Token: CORCHETE_DER, Valor: ']', Línea: 122
Token: PUNTO_COMA, Valor: ';', Línea: 122
Token: IF, Valor: 'if', Línea: 125
Token: PAREN_IZQ, Valor: '(', Línea: 125
Token: VARIABLE, Valor: '$persona', Línea: 125
Token: CORCHETE_IZQ, Valor: '[', Línea: 125
Token: CADENA, Valor: '"edad"', Línea: 125
Token: CORCHETE_DER, Valor: ']', Línea: 125
Token: MAYOR_IGUAL, Valor: '>=', Línea: 125
Token: IDENTIFICADOR, Valor: 'EDAD_MINIMA', Línea: 125
Token: PAREN_DER, Valor: ')', Línea: 125
Token: LLAVE_IZQ, Valor: '{', Línea: 125
Token: VARIABLE, Valor: '$adultos', Línea: 126
Token: MAS, Valor: '+', Línea: 126
Token: MAS, Valor: '+', Línea: 126
Token: PUNTO_COMA, Valor: ';', Línea: 126
Token: ECHO, Valor: 'echo', Línea: 127
Token: VARIABLE, Valor: '$persona', Línea: 127
Token: CORCHETE_IZQ, Valor: '[', Línea: 127
Token: CADENA, Valor: '"nombre"', Línea: 127
Token: CORCHETE_DER, Valor: ']', Línea: 127
Token: PUNTO, Valor: '.', Línea: 127
Token: CADENA, Valor: '" es mayor de edad\n"', Línea: 127
Token: PUNTO_COMA, Valor: ';', Línea: 127
Token: LLAVE_DER, Valor: '}', Línea: 128
Token: ELSE, Valor: 'else', Línea: 128
Token: LLAVE_IZQ, Valor: '{', Línea: 128
Token: ECHO, Valor: 'echo', Línea: 129
Token: VARIABLE, Valor: '$persona', Línea: 129
Token: CORCHETE_IZQ, Valor: '[', Línea: 129
Token: CADENA, Valor: '"nombre"', Línea: 129
Token: CORCHETE_DER, Valor: ']', Línea: 129
Token: PUNTO, Valor: '.', Línea: 129
Token: CADENA, Valor: '" es menor de edad\n"', Línea: 129
Token: PUNTO_COMA, Valor: ';', Línea: 129
Token: LLAVE_DER, Valor: '}', Línea: 130
Token: LLAVE_DER, Valor: '}', Línea: 131
Token: IF, Valor: 'if', Línea: 134
Token: PAREN_IZQ, Valor: '(', Línea: 134
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 134
Token: MAYOR, Valor: '>', Línea: 134
Token: NUMERO, Valor: '0', Línea: 134
Token: PAREN_DER, Valor: ')', Línea: 134
Token: LLAVE_IZQ, Valor: '{', Línea: 134
Token: VARIABLE, Valor: '$promedio', Línea: 135
Token: ASIGNAR, Valor: '=', Línea: 135
Token: VARIABLE, Valor: '$totalEdades', Línea: 135
Token: DIVIDIR, Valor: '/', Línea: 135
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 135
Token: PUNTO_COMA, Valor: ';', Línea: 135
Token: LLAVE_DER, Valor: '}', Línea: 136
Token: ELSE, Valor: 'else', Línea: 136
Token: LLAVE_IZQ, Valor: '{', Línea: 136
Token: VARIABLE, Valor: '$promedio', Línea: 137
Token: ASIGNAR, Valor: '=', Línea: 137
Token: NUMERO, Valor: '0', Línea: 137
Token: PUNTO_COMA, Valor: ';', Línea: 137
Token: LLAVE_DER, Valor: '}', Línea: 138
Token: ECHO, Valor: 'echo', Línea: 141
Token: CADENA, Valor: '"\nCantidad de personas: "', Línea: 141
Token: PUNTO, Valor: '.', Línea: 141
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 141
Token: PUNTO_COMA, Valor: ';', Línea: 141
Token: ECHO, Valor: 'echo', Línea: 142
Token: CADENA, Valor: '"\nCantidad de adultos: "', Línea: 142
Token: PUNTO, Valor: '.', Línea: 142
Token: VARIABLE, Valor: '$adultos', Línea: 142
Token: PUNTO_COMA, Valor: ';', Línea: 142
Token: ECHO, Valor: 'echo', Línea: 143
Token: CADENA, Valor: '"\nPromedio de edad: "', Línea: 143
Token: PUNTO, Valor: '.', Línea: 143
Token: VARIABLE, Valor: '$promedio', Línea: 143
Token: PUNTO, Valor: '.', Línea: 143
Token: CADENA, Valor: '"\n"', Línea: 143
Token: PUNTO_COMA, Valor: ';', Línea: 143

Total tokens: 181
Tokens construidos (contribución Alex): 89
Tokens construidos (contribución Fernando): 63
Tokens construidos (contribución Nehemias): 16
