ANÁLISIS LÉXICO - algoritmos/algoritmo_Fernando.php
Contribución de: fzavala2003
Fecha: 14/06/2025 16:10:29
==================================================

TOKENS RECONOCIDOS:
Token: MENOR, Valor: '<', Línea: 57
Token: PUNTO_COMA, Valor: ';', Línea: 72
Token: FOREACH, Valor: 'foreach', Línea: 75
Token: PAREN_IZQ, Valor: '(', Línea: 75
Token: VARIABLE, Valor: '$personas', Línea: 75
Token: AS, Valor: 'as', Línea: 75
Token: VARIABLE, Valor: '$persona', Línea: 75
Token: PAREN_DER, Valor: ')', Línea: 75
Token: LLAVE_IZQ, Valor: '{', Línea: 75
Token: VARIABLE, Valor: '$edades', Línea: 77
Token: CORCHETE_IZQ, Valor: '[', Línea: 77
Token: CORCHETE_DER, Valor: ']', Línea: 77
Token: ASIGNAR, Valor: '=', Línea: 77
Token: VARIABLE, Valor: '$persona', Línea: 77
Token: CORCHETE_IZQ, Valor: '[', Línea: 77
Token: CADENA, Valor: '"edad"', Línea: 77
Token: CORCHETE_DER, Valor: ']', Línea: 77
Token: PUNTO_COMA, Valor: ';', Línea: 77
Token: VARIABLE, Valor: '$totalEdades', Línea: 79
Token: MAS, Valor: '+', Línea: 79
Token: ASIGNAR, Valor: '=', Línea: 79
Token: VARIABLE, Valor: '$persona', Línea: 79
Token: CORCHETE_IZQ, Valor: '[', Línea: 79
Token: CADENA, Valor: '"edad"', Línea: 79
Token: CORCHETE_DER, Valor: ']', Línea: 79
Token: PUNTO_COMA, Valor: ';', Línea: 79
Token: IF, Valor: 'if', Línea: 82
Token: PAREN_IZQ, Valor: '(', Línea: 82
Token: VARIABLE, Valor: '$persona', Línea: 82
Token: CORCHETE_IZQ, Valor: '[', Línea: 82
Token: CADENA, Valor: '"edad"', Línea: 82
Token: CORCHETE_DER, Valor: ']', Línea: 82
Token: MAYOR_IGUAL, Valor: '>=', Línea: 82
Token: IDENTIFICADOR, Valor: 'EDAD_MINIMA', Línea: 82
Token: PAREN_DER, Valor: ')', Línea: 82
Token: LLAVE_IZQ, Valor: '{', Línea: 82
Token: VARIABLE, Valor: '$adultos', Línea: 83
Token: MAS, Valor: '+', Línea: 83
Token: MAS, Valor: '+', Línea: 83
Token: PUNTO_COMA, Valor: ';', Línea: 83
Token: ECHO, Valor: 'echo', Línea: 84
Token: VARIABLE, Valor: '$persona', Línea: 84
Token: CORCHETE_IZQ, Valor: '[', Línea: 84
Token: CADENA, Valor: '"nombre"', Línea: 84
Token: CORCHETE_DER, Valor: ']', Línea: 84
Token: PUNTO, Valor: '.', Línea: 84
Token: CADENA, Valor: '" es mayor de edad\n"', Línea: 84
Token: PUNTO_COMA, Valor: ';', Línea: 84
Token: LLAVE_DER, Valor: '}', Línea: 85
Token: ELSE, Valor: 'else', Línea: 85
Token: LLAVE_IZQ, Valor: '{', Línea: 85
Token: ECHO, Valor: 'echo', Línea: 86
Token: VARIABLE, Valor: '$persona', Línea: 86
Token: CORCHETE_IZQ, Valor: '[', Línea: 86
Token: CADENA, Valor: '"nombre"', Línea: 86
Token: CORCHETE_DER, Valor: ']', Línea: 86
Token: PUNTO, Valor: '.', Línea: 86
Token: CADENA, Valor: '" es menor de edad\n"', Línea: 86
Token: PUNTO_COMA, Valor: ';', Línea: 86
Token: LLAVE_DER, Valor: '}', Línea: 87
Token: LLAVE_DER, Valor: '}', Línea: 88
Token: IF, Valor: 'if', Línea: 91
Token: PAREN_IZQ, Valor: '(', Línea: 91
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 91
Token: MAYOR, Valor: '>', Línea: 91
Token: NUMERO, Valor: '0', Línea: 91
Token: PAREN_DER, Valor: ')', Línea: 91
Token: LLAVE_IZQ, Valor: '{', Línea: 91
Token: VARIABLE, Valor: '$promedio', Línea: 92
Token: ASIGNAR, Valor: '=', Línea: 92
Token: VARIABLE, Valor: '$totalEdades', Línea: 92
Token: DIVIDIR, Valor: '/', Línea: 92
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 92
Token: PUNTO_COMA, Valor: ';', Línea: 92
Token: LLAVE_DER, Valor: '}', Línea: 93
Token: ELSE, Valor: 'else', Línea: 93
Token: LLAVE_IZQ, Valor: '{', Línea: 93
Token: VARIABLE, Valor: '$promedio', Línea: 94
Token: ASIGNAR, Valor: '=', Línea: 94
Token: NUMERO, Valor: '0', Línea: 94
Token: PUNTO_COMA, Valor: ';', Línea: 94
Token: LLAVE_DER, Valor: '}', Línea: 95
Token: ECHO, Valor: 'echo', Línea: 98
Token: CADENA, Valor: '"\nCantidad de personas: "', Línea: 98
Token: PUNTO, Valor: '.', Línea: 98
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 98
Token: PUNTO_COMA, Valor: ';', Línea: 98
Token: ECHO, Valor: 'echo', Línea: 99
Token: CADENA, Valor: '"\nCantidad de adultos: "', Línea: 99
Token: PUNTO, Valor: '.', Línea: 99
Token: VARIABLE, Valor: '$adultos', Línea: 99
Token: PUNTO_COMA, Valor: ';', Línea: 99
Token: ECHO, Valor: 'echo', Línea: 100
Token: CADENA, Valor: '"\nPromedio de edad: "', Línea: 100
Token: PUNTO, Valor: '.', Línea: 100
Token: VARIABLE, Valor: '$promedio', Línea: 100
Token: PUNTO, Valor: '.', Línea: 100
Token: CADENA, Valor: '"\n"', Línea: 100
Token: PUNTO_COMA, Valor: ';', Línea: 100

Total tokens: 181
