ANÁLISIS LÉXICO - algoritmos/algortimo_Alex.php
Contribución de: Alex-Benites
Fecha: 21/06/2025 17:57:28
==================================================

TOKENS RECONOCIDOS:
Token: TAG_INICIO, Valor: '<?php', Línea: 1
Token: VARIABLE, Valor: '$totalEdades', Línea: 23
Token: MAS, Valor: '+', Línea: 23
Token: ASIGNAR, Valor: '=', Línea: 23
Token: VARIABLE, Valor: '$edad', Línea: 23
Token: PUNTO_COMA, Valor: ';', Línea: 23
Token: IF, Valor: 'if', Línea: 25
Token: PAREN_IZQ, Valor: '(', Línea: 25
Token: VARIABLE, Valor: '$edad', Línea: 25
Token: MAYOR_IGUAL, Valor: '>=', Línea: 25
Token: IDENTIFICADOR, Valor: 'EDAD_MINIMA', Línea: 25
Token: PAREN_DER, Valor: ')', Línea: 25
Token: LLAVE_IZQ, Valor: '{', Línea: 25
Token: VARIABLE, Valor: '$adultos', Línea: 26
Token: MAS, Valor: '+', Línea: 26
Token: MAS, Valor: '+', Línea: 26
Token: PUNTO_COMA, Valor: ';', Línea: 26
Token: ECHO, Valor: 'echo', Línea: 27
Token: VARIABLE, Valor: '$persona', Línea: 27
Token: PUNTO, Valor: '.', Línea: 27
Token: CADENA, Valor: '" es mayor de edad\n"', Línea: 27
Token: PUNTO_COMA, Valor: ';', Línea: 27
Token: LLAVE_DER, Valor: '}', Línea: 28
Token: ELSE, Valor: 'else', Línea: 28
Token: LLAVE_IZQ, Valor: '{', Línea: 28
Token: ECHO, Valor: 'echo', Línea: 29
Token: VARIABLE, Valor: '$persona', Línea: 29
Token: PUNTO, Valor: '.', Línea: 29
Token: CADENA, Valor: '" es menor de edad\n"', Línea: 29
Token: PUNTO_COMA, Valor: ';', Línea: 29
Token: LLAVE_DER, Valor: '}', Línea: 30
Token: LLAVE_DER, Valor: '}', Línea: 31
Token: IF, Valor: 'if', Línea: 34
Token: PAREN_IZQ, Valor: '(', Línea: 34
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 34
Token: MAYOR, Valor: '>', Línea: 34
Token: NUMERO, Valor: '0', Línea: 34
Token: PAREN_DER, Valor: ')', Línea: 34
Token: LLAVE_IZQ, Valor: '{', Línea: 34
Token: VARIABLE, Valor: '$promedio', Línea: 35
Token: ASIGNAR, Valor: '=', Línea: 35
Token: VARIABLE, Valor: '$totalEdades', Línea: 35
Token: DIVIDIR, Valor: '/', Línea: 35
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 35
Token: PUNTO_COMA, Valor: ';', Línea: 35
Token: LLAVE_DER, Valor: '}', Línea: 36
Token: ELSE, Valor: 'else', Línea: 36
Token: LLAVE_IZQ, Valor: '{', Línea: 36
Token: VARIABLE, Valor: '$promedio', Línea: 37
Token: ASIGNAR, Valor: '=', Línea: 37
Token: NUMERO, Valor: '0', Línea: 37
Token: PUNTO_COMA, Valor: ';', Línea: 37
Token: LLAVE_DER, Valor: '}', Línea: 38
Token: ECHO, Valor: 'echo', Línea: 40
Token: CADENA, Valor: '"\nCantidad de personas: "', Línea: 40
Token: PUNTO, Valor: '.', Línea: 40
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 40
Token: PUNTO_COMA, Valor: ';', Línea: 40
Token: ECHO, Valor: 'echo', Línea: 41
Token: CADENA, Valor: '"\nCantidad de adultos: "', Línea: 41
Token: PUNTO, Valor: '.', Línea: 41
Token: VARIABLE, Valor: '$adultos', Línea: 41
Token: PUNTO_COMA, Valor: ';', Línea: 41
Token: ECHO, Valor: 'echo', Línea: 42
Token: CADENA, Valor: '"\nPromedio de edad: "', Línea: 42
Token: PUNTO, Valor: '.', Línea: 42
Token: VARIABLE, Valor: '$promedio', Línea: 42
Token: PUNTO, Valor: '.', Línea: 42
Token: CADENA, Valor: '"\n"', Línea: 42
Token: PUNTO_COMA, Valor: ';', Línea: 42
Token: VARIABLE, Valor: '$estadisticas', Línea: 44
Token: ASIGNAR, Valor: '=', Línea: 44
Token: CORCHETE_IZQ, Valor: '[', Línea: 44
Token: CADENA, Valor: '"total_personas"', Línea: 45
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 45
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 45
Token: COMA, Valor: ',', Línea: 45
Token: CADENA, Valor: '"adultos"', Línea: 46
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 46
Token: VARIABLE, Valor: '$adultos', Línea: 46
Token: COMA, Valor: ',', Línea: 46
Token: CADENA, Valor: '"menores"', Línea: 47
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 47
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 47
Token: MENOS, Valor: '-', Línea: 47
Token: VARIABLE, Valor: '$adultos', Línea: 47
Token: COMA, Valor: ',', Línea: 47
Token: CADENA, Valor: '"promedio_edad"', Línea: 48
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 48
Token: VARIABLE, Valor: '$promedio', Línea: 48
Token: COMA, Valor: ',', Línea: 48
Token: CADENA, Valor: '"edad_minima_adulto"', Línea: 49
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 49
Token: IDENTIFICADOR, Valor: 'EDAD_MINIMA', Línea: 49
Token: CORCHETE_DER, Valor: ']', Línea: 50
Token: PUNTO_COMA, Valor: ';', Línea: 50
Token: ECHO, Valor: 'echo', Línea: 52
Token: CADENA, Valor: '"\n=== ESTADÍSTICAS ===\n"', Línea: 52
Token: PUNTO_COMA, Valor: ';', Línea: 52
Token: FOREACH, Valor: 'foreach', Línea: 53
Token: PAREN_IZQ, Valor: '(', Línea: 53
Token: VARIABLE, Valor: '$estadisticas', Línea: 53
Token: AS, Valor: 'as', Línea: 53
Token: VARIABLE, Valor: '$clave', Línea: 53
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 53
Token: VARIABLE, Valor: '$valor', Línea: 53
Token: PAREN_DER, Valor: ')', Línea: 53
Token: LLAVE_IZQ, Valor: '{', Línea: 53
Token: ECHO, Valor: 'echo', Línea: 54
Token: IDENTIFICADOR, Valor: 'ucfirst', Línea: 54
Token: PAREN_IZQ, Valor: '(', Línea: 54
Token: IDENTIFICADOR, Valor: 'str_replace', Línea: 54
Token: PAREN_IZQ, Valor: '(', Línea: 54
Token: CADENA, Valor: '"_"', Línea: 54
Token: COMA, Valor: ',', Línea: 54
Token: CADENA, Valor: '" "', Línea: 54
Token: COMA, Valor: ',', Línea: 54
Token: VARIABLE, Valor: '$clave', Línea: 54
Token: PAREN_DER, Valor: ')', Línea: 54
Token: PAREN_DER, Valor: ')', Línea: 54
Token: PUNTO, Valor: '.', Línea: 54
Token: CADENA, Valor: '": "', Línea: 54
Token: PUNTO, Valor: '.', Línea: 54
Token: VARIABLE, Valor: '$valor', Línea: 54
Token: PUNTO, Valor: '.', Línea: 54
Token: CADENA, Valor: '"\n"', Línea: 54
Token: PUNTO_COMA, Valor: ';', Línea: 54
Token: LLAVE_DER, Valor: '}', Línea: 55
Token: MAYOR, Valor: '>', Línea: 57

ERRORES LÉXICOS:
? en línea 57

Total tokens reconocidos: 195
Total errores léxicos: 1
