ANÁLISIS LÉXICO - algoritmos/algoritmo_Alex.php
Contribución de: Alex-Benites
Fecha: 29/06/2025 18:30:40
============================================================

ESTADO DEL ANÁLISIS:  ANÁLISIS EXITOSO

TOKENS ENCONTRADOS:
----------------------------------------
  1. Token: TAG_INICIO      | Valor: '<?php' | Línea: 102
 55. Token: ECHO            | Valor: 'echo' | Línea: 124
 56. Token: CADENA          | Valor: '"Estado de la cola después del DEQUEUE:\n"' | Línea: 124
 57. Token: PUNTO_COMA      | Valor: ';' | Línea: 124
 58. Token: IDENTIFICADOR   | Valor: 'print_r' | Línea: 125
 59. Token: PAREN_IZQ       | Valor: '(' | Línea: 125
 60. Token: VARIABLE        | Valor: '$cola' | Línea: 125
 61. Token: PAREN_DER       | Valor: ')' | Línea: 125
 62. Token: PUNTO_COMA      | Valor: ';' | Línea: 125
 63. Token: IF              | Valor: 'if' | Línea: 128
 64. Token: PAREN_IZQ       | Valor: '(' | Línea: 128
 65. Token: IDENTIFICADOR   | Valor: 'empty' | Línea: 128
 66. Token: PAREN_IZQ       | Valor: '(' | Línea: 128
 67. Token: VARIABLE        | Valor: '$cola' | Línea: 128
 68. Token: PAREN_DER       | Valor: ')' | Línea: 128
 69. Token: PAREN_DER       | Valor: ')' | Línea: 128
 70. Token: LLAVE_IZQ       | Valor: '{' | Línea: 128
 71. Token: ECHO            | Valor: 'echo' | Línea: 129
 72. Token: CADENA          | Valor: '"\nLa cola está vacía.\n"' | Línea: 129
 73. Token: PUNTO_COMA      | Valor: ';' | Línea: 129
 74. Token: LLAVE_DER       | Valor: '}' | Línea: 130
 75. Token: ELSE            | Valor: 'else' | Línea: 130
 76. Token: LLAVE_IZQ       | Valor: '{' | Línea: 130
 77. Token: ECHO            | Valor: 'echo' | Línea: 131
 78. Token: CADENA          | Valor: '"\nQuedan "' | Línea: 131
 79. Token: PUNTO           | Valor: '.' | Línea: 131
 80. Token: IDENTIFICADOR   | Valor: 'count' | Línea: 131
 81. Token: PAREN_IZQ       | Valor: '(' | Línea: 131
 82. Token: VARIABLE        | Valor: '$cola' | Línea: 131
 83. Token: PAREN_DER       | Valor: ')' | Línea: 131
 84. Token: PUNTO           | Valor: '.' | Línea: 131
 85. Token: CADENA          | Valor: '" clientes en la cola.\n"' | Línea: 131
 86. Token: PUNTO_COMA      | Valor: ';' | Línea: 131
 87. Token: LLAVE_DER       | Valor: '}' | Línea: 132
 88. Token: VARIABLE        | Valor: '$siguienteCliente' | Línea: 135
 89. Token: ASIGNAR         | Valor: '=' | Línea: 135
 90. Token: VARIABLE        | Valor: '$cola' | Línea: 135
 91. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 135
 92. Token: NUMERO          | Valor: '0' | Línea: 135
 93. Token: CORCHETE_DER    | Valor: ']' | Línea: 135
 94. Token: PUNTO_COMA      | Valor: ';' | Línea: 135
 95. Token: ECHO            | Valor: 'echo' | Línea: 137
 96. Token: CADENA          | Valor: '"\nEl siguiente cliente en la cola es: "' | Línea: 137
 97. Token: PUNTO           | Valor: '.' | Línea: 137
 98. Token: VARIABLE        | Valor: '$siguienteCliente' | Línea: 137
 99. Token: PUNTO           | Valor: '.' | Línea: 137
100. Token: CADENA          | Valor: '"\n"' | Línea: 137
101. Token: PUNTO_COMA      | Valor: ';' | Línea: 137
102. Token: ECHO            | Valor: 'echo' | Línea: 140
103. Token: CADENA          | Valor: '"\n=== PRUEBAS DE VALIDACIÓN SEMÁNTICA ===\n"' | Línea: 140
104. Token: PUNTO_COMA      | Valor: ';' | Línea: 140
105. Token: ECHO            | Valor: 'echo' | Línea: 143
106. Token: CADENA          | Valor: '"Realizando operaciones matemáticas...\n"' | Línea: 143
107. Token: PUNTO_COMA      | Valor: ';' | Línea: 143
108. Token: VARIABLE        | Valor: '$clientes_total' | Línea: 144
109. Token: ASIGNAR         | Valor: '=' | Línea: 144
110. Token: NUMERO          | Valor: '10' | Línea: 144
111. Token: PUNTO_COMA      | Valor: ';' | Línea: 144
112. Token: VARIABLE        | Valor: '$divisor_cero' | Línea: 145
113. Token: ASIGNAR         | Valor: '=' | Línea: 145
114. Token: NUMERO          | Valor: '0' | Línea: 145
115. Token: PUNTO_COMA      | Valor: ';' | Línea: 145
116. Token: VARIABLE        | Valor: '$promedio1' | Línea: 148
117. Token: ASIGNAR         | Valor: '=' | Línea: 148
118. Token: NUMERO          | Valor: '100' | Línea: 148
119. Token: DIVIDIR         | Valor: '/' | Línea: 148
120. Token: NUMERO          | Valor: '0' | Línea: 148
121. Token: PUNTO_COMA      | Valor: ';' | Línea: 148
122. Token: VARIABLE        | Valor: '$promedio2' | Línea: 151
123. Token: ASIGNAR         | Valor: '=' | Línea: 151
124. Token: VARIABLE        | Valor: '$clientes_total' | Línea: 151
125. Token: DIVIDIR         | Valor: '/' | Línea: 151
126. Token: NUMERO          | Valor: '0' | Línea: 151
127. Token: PUNTO_COMA      | Valor: ';' | Línea: 151
128. Token: VARIABLE        | Valor: '$promedio3' | Línea: 154
129. Token: ASIGNAR         | Valor: '=' | Línea: 154
130. Token: NUMERO          | Valor: '50' | Línea: 154
131. Token: DIVIDIR         | Valor: '/' | Línea: 154
132. Token: NUMERO          | Valor: '0.0' | Línea: 154
133. Token: PUNTO_COMA      | Valor: ';' | Línea: 154
134. Token: VARIABLE        | Valor: '$promedio_valido' | Línea: 157
135. Token: ASIGNAR         | Valor: '=' | Línea: 157
136. Token: VARIABLE        | Valor: '$clientes_total' | Línea: 157
137. Token: DIVIDIR         | Valor: '/' | Línea: 157
138. Token: NUMERO          | Valor: '2' | Línea: 157
139. Token: PUNTO_COMA      | Valor: ';' | Línea: 157
140. Token: VARIABLE        | Valor: '$tiempo_atencion' | Línea: 158
141. Token: ASIGNAR         | Valor: '=' | Línea: 158
142. Token: NUMERO          | Valor: '60' | Línea: 158
143. Token: DIVIDIR         | Valor: '/' | Línea: 158
144. Token: IDENTIFICADOR   | Valor: 'count' | Línea: 158
145. Token: PAREN_IZQ       | Valor: '(' | Línea: 158
146. Token: VARIABLE        | Valor: '$cola' | Línea: 158
147. Token: PAREN_DER       | Valor: ')' | Línea: 158
148. Token: PUNTO_COMA      | Valor: ';' | Línea: 158
149. Token: ECHO            | Valor: 'echo' | Línea: 160
150. Token: CADENA          | Valor: '"Promedio de atención por cliente: "' | Línea: 160
151. Token: PUNTO           | Valor: '.' | Línea: 160
152. Token: VARIABLE        | Valor: '$promedio_valido' | Línea: 160
153. Token: PUNTO           | Valor: '.' | Línea: 160
154. Token: CADENA          | Valor: '" minutos\n"' | Línea: 160
155. Token: PUNTO_COMA      | Valor: ';' | Línea: 160
156. Token: ECHO            | Valor: 'echo' | Línea: 163
157. Token: CADENA          | Valor: '"\n=== PRUEBAS DE ACCESO A ARRAYS ===\n"' | Línea: 163
158. Token: PUNTO_COMA      | Valor: ';' | Línea: 163
159. Token: VARIABLE        | Valor: '$error1' | Línea: 166
160. Token: ASIGNAR         | Valor: '=' | Línea: 166
161. Token: VARIABLE        | Valor: '$cola' | Línea: 166
162. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 166
163. Token: MENOS           | Valor: '-' | Línea: 166
164. Token: NUMERO          | Valor: '1' | Línea: 166
165. Token: CORCHETE_DER    | Valor: ']' | Línea: 166
166. Token: PUNTO_COMA      | Valor: ';' | Línea: 166
167. Token: VARIABLE        | Valor: '$error2' | Línea: 167
168. Token: ASIGNAR         | Valor: '=' | Línea: 167
169. Token: VARIABLE        | Valor: '$cola' | Línea: 167
170. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 167
171. Token: MENOS           | Valor: '-' | Línea: 167
172. Token: NUMERO          | Valor: '5' | Línea: 167
173. Token: CORCHETE_DER    | Valor: ']' | Línea: 167
174. Token: PUNTO_COMA      | Valor: ';' | Línea: 167
175. Token: VARIABLE        | Valor: '$error3' | Línea: 168
176. Token: ASIGNAR         | Valor: '=' | Línea: 168
177. Token: VARIABLE        | Valor: '$cola' | Línea: 168
178. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 168
179. Token: CADENA          | Valor: '"texto"' | Línea: 168
180. Token: CORCHETE_DER    | Valor: ']' | Línea: 168
181. Token: PUNTO_COMA      | Valor: ';' | Línea: 168
182. Token: VARIABLE        | Valor: '$valido1' | Línea: 171
183. Token: ASIGNAR         | Valor: '=' | Línea: 171
184. Token: VARIABLE        | Valor: '$cola' | Línea: 171
185. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 171
186. Token: NUMERO          | Valor: '0' | Línea: 171
187. Token: CORCHETE_DER    | Valor: ']' | Línea: 171
188. Token: PUNTO_COMA      | Valor: ';' | Línea: 171
189. Token: VARIABLE        | Valor: '$valido2' | Línea: 172
190. Token: ASIGNAR         | Valor: '=' | Línea: 172
191. Token: VARIABLE        | Valor: '$cola' | Línea: 172
192. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 172
193. Token: NUMERO          | Valor: '1' | Línea: 172
194. Token: CORCHETE_DER    | Valor: ']' | Línea: 172
195. Token: PUNTO_COMA      | Valor: ';' | Línea: 172
196. Token: VARIABLE        | Valor: '$valido3' | Línea: 173
197. Token: ASIGNAR         | Valor: '=' | Línea: 173
198. Token: VARIABLE        | Valor: '$cola' | Línea: 173
199. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 173
200. Token: NUMERO          | Valor: '2' | Línea: 173
201. Token: CORCHETE_DER    | Valor: ']' | Línea: 173
202. Token: PUNTO_COMA      | Valor: ';' | Línea: 173
203. Token: ECHO            | Valor: 'echo' | Línea: 175
204. Token: CADENA          | Valor: '"Acceso válido completado\n"' | Línea: 175
205. Token: PUNTO_COMA      | Valor: ';' | Línea: 175
206. Token: TAG_FIN         | Valor: '?>' | Línea: 176

ESTADÍSTICAS LÉXICAS:
-------------------------
Total de tokens: 206
Tipos únicos de tokens: 20

FRECUENCIA DE TOKENS:
--------------------
ASIGNAR        : 19
CADENA         : 20
CORCHETE_DER   : 11
CORCHETE_IZQ   : 11
DIVIDIR        : 5
ECHO           : 12
ELSE           : 1
IDENTIFICADOR  : 7
IF             : 1
LLAVE_DER      : 2
LLAVE_IZQ      : 2
MENOS          : 2
NUMERO         : 15
PAREN_DER      : 8
PAREN_IZQ      : 8
PUNTO          : 8
PUNTO_COMA     : 34
TAG_FIN        : 1
TAG_INICIO     : 1
VARIABLE       : 38

============================================================
INFORMACIÓN ADICIONAL:
-------------------------
Archivo analizado: algoritmos/algoritmo_Alex.php
Análisis léxico completado sin errores
Todos los tokens fueron reconocidos correctamente
